,date,code,kind_of_trade,turnover
106,2/1/2009,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",74.8
107,2/1/2009,WZ08-4771,Retail sale of clothing,68.4
108,2/1/2009,WZ08-4742,Retail sale of telecommunications equipment,76.8
109,2/1/2009,WZ08-475,Retail sale of other household equipment,78.3
110,2/1/2009,WZ08-4751,Retail sale of textiles,80.5
111,2/1/2009,WZ08-47799,Retail sale of other second-hand goods in stores,124.4
112,2/1/2009,WZ08-4743,Retail sale of audio and video equipment,93.4
113,2/1/2009,WZ08-47592,Retail sale of china and glassware,83.2
114,2/1/2009,WZ08-47999,Other retail sale not in stores n.e.c.,74.7
115,2/1/2009,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",65.2
116,2/1/2009,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",78.1
117,2/1/2009,WZ08-47762,"Retail sale of live animals	 animal food etc.",69.2
118,2/1/2009,WZ08-4741,"Retail sale of computers	peripheral units	software",84
119,2/1/2009,WZ08-4778,Other retail sale of new goods,88.6
120,2/1/2009,WZ08-47789,Other retail sale of new goods,124.8
121,2/1/2009,WZ08-47991,Retail sale of fuels from stock,103.1
122,2/1/2009,WZ08-4752,"Retail sale of hardware	 paints and glass",72
123,2/1/2009,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,93
124,2/1/2009,WZ08-47301,Retail sale on behalf of others of automotive fuel,79.6
125,2/1/2009,WZ08-47593,Retail sale of musical instruments and scores,82.8
126,2/1/2009,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",88.8
127,2/1/2009,WZ08-4711,Retail sale in non-spec. stores with food etc.,77.2
128,2/1/2009,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",92.5
129,2/1/2009,WZ08-478,Retail sale via stalls and markets,86.2
130,2/1/2009,WZ08-471-03,Retail trade in its more narrow definition,75.4
131,2/1/2009,WZ08-472,"Retail sale of food	 beverages and tobacco",82.8
132,2/1/2009,WZ08-4763,Retail sale of music and video recordings,95
133,2/1/2009,WZ08-4776,"Retail sale of flowers	plants	seeds	fertil.	anim.",81.9
134,2/1/2009,WZ08-4722,Retail sale of meat and meat products,91.7
135,2/1/2009,WZ08-47919,Other retail sale v. mail order houses or Internet,57.1
136,2/1/2009,WZ08-4791,Retail sale via mail order houses or via Internet,55.8
137,2/1/2009,WZ08-4774,Retail sale of medical and orthopaedic goods,65.2
138,2/1/2009,WZ08-4711-02,Retail sale of food,77.5
139,2/1/2009,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",86
140,2/1/2009,WZ08-47521,Retail sale of hardware and plastic products,82.4
141,2/1/2009,WZ08-47112,Other retail sale in non-spec.stores with food etc,88.8
142,2/1/2009,WZ08-477,Retail sale of other goods,74.5
143,2/1/2009,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",93.4
144,2/1/2009,WZ08-4777,Retail sale of watches and jewellery,75.4
145,2/1/2009,WZ08-4789,Retail sale via stalls and markets of other goods,77.6
146,2/1/2009,WZ08-47791,Retail sale of antiques and antique rugs in stores,134.7
147,2/1/2009,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",66.8
148,2/1/2009,WZ08-4729,Other retail sale of food,77.6
149,2/1/2009,WZ08-4719-01,Retail sale of non-food (incl. markets of food),74.8
150,2/1/2009,WZ08-4775,Retail sale of cosmetic and toilet articles,76.8
151,2/1/2009,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",80.7
152,2/1/2009,WZ08-4765,Retail sale of games and toys,70.6
153,2/1/2009,WZ08-47792,Retail sale in second-hand bookstores in stores,188
154,2/1/2009,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",58.3
155,2/1/2009,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",85.2
156,2/1/2009,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",77.5
157,2/1/2009,WZ08-476,Retail sale of cultural and recreation goods,76.4
158,2/1/2009,WZ08-47191,Retail sale in non-specialised stores (ex. food),82.9
159,2/1/2009,WZ08-4726,Retail sale of tobacco products,81.5
160,2/1/2009,WZ08-4719,Other retail sale in non-specialised stores,90.9
161,2/1/2009,WZ08-471-04,"Retail trade	 except retail sale of fuels",75.5
162,2/1/2009,WZ08-471-02,Retail trade in the traditional sense,76.5
163,2/1/2009,WZ08-45-01,Motor trade and retail trade,76.5
164,2/1/2009,WZ08-4762,Retail sale of newspapers and stationery,92
165,2/1/2009,WZ08-4754,Retail sale of electrical household appliances,83.7
166,2/1/2009,WZ08-471,Retail sale in non-specialised stores,77.9
167,2/1/2009,WZ08-4719-02,Retail sale of non-food,74.9
168,2/1/2009,WZ08-479,"Retail trade not in stores	 stalls or markets",61.4
169,2/1/2009,WZ08-4721,Retail sale of fruit and vegetables,74.7
170,2/1/2009,WZ08-47523,"Retail sale of paints	varnishes	building material",70.4
171,2/1/2009,WZ08-474,Retail sale of information a. communication equip.,89.6
172,2/1/2009,WZ08-4799,"Other retail sale not in stores	 stalls or markets",94.7
173,2/1/2009,WZ08-4761,Retail sale of books,95.9
174,2/1/2009,WZ08-4764,Retail sale of sporting equipment,61.5
175,2/1/2009,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",75.8
176,2/1/2009,WZ08-4779,Retail sale of second-hand goods in stores,124
177,2/1/2009,WZ08-47721,Retail sale of footwear,58.5
178,2/1/2009,WZ08-47302,Retail sale of private-brand automotive fuel,74
179,2/1/2009,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),68
180,2/1/2009,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",106.5
181,2/1/2009,WZ08-4724,"Retail sale of bread	cakes	flour a. sugar confect.",100.6
182,2/1/2009,WZ08-47622,"Retail sale of stationery	school a.office supplies",96.6
183,2/1/2009,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",81.9
184,2/1/2009,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",81
185,2/1/2009,WZ08-4725,Retail sale of beverages,76.3
186,2/1/2009,WZ08-47641,"Retail sale of bicycles	 their parts and access.",52.9
187,2/1/2009,WZ08-47781,Activities of opticians,79.9
188,2/1/2009,WZ08-4741-01,Retail sale of books and stationery,81.2
189,2/1/2009,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",75.8
190,3/1/2009,WZ08-4719-01,Retail sale of non-food (incl. markets of food),87.8
191,3/1/2009,WZ08-4775,Retail sale of cosmetic and toilet articles,84.7
192,3/1/2009,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",97.8
193,3/1/2009,WZ08-47792,Retail sale in second-hand bookstores in stores,45.5
194,3/1/2009,WZ08-4765,Retail sale of games and toys,80.5
195,3/1/2009,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",84.9
196,3/1/2009,WZ08-4729,Other retail sale of food,86
197,3/1/2009,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",66.4
198,3/1/2009,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",96.6
199,3/1/2009,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",97
200,3/1/2009,WZ08-47762,"Retail sale of live animals	 animal food etc.",79.2
201,3/1/2009,WZ08-47721,Retail sale of footwear,87.7
202,3/1/2009,WZ08-4725,Retail sale of beverages,82.4
203,3/1/2009,WZ08-479,"Retail trade not in stores	 stalls or markets",71
204,3/1/2009,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",85.7
205,3/1/2009,WZ08-475,Retail sale of other household equipment,97
206,3/1/2009,WZ08-4771,Retail sale of clothing,85.6
207,3/1/2009,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",82.1
208,3/1/2009,WZ08-4724,"Retail sale of bread	cakes	flour a. sugar confect.",108.4
209,3/1/2009,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",119.4
210,3/1/2009,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",76.2
211,3/1/2009,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",86.1
212,3/1/2009,WZ08-47722,Retail sale of leather goods and luggage,64.4
213,3/1/2009,WZ08-471-01,Retail trade in-store,88
214,3/1/2009,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",81.6
215,3/1/2009,WZ08-477,Retail sale of other goods,86.8
216,3/1/2009,WZ08-474,Retail sale of information a. communication equip.,96.4
217,3/1/2009,WZ08-4741,"Retail sale of computers	peripheral units	software",93.3
218,3/1/2009,WZ08-4789,Retail sale via stalls and markets of other goods,83.1
219,3/1/2009,WZ08-47791,Retail sale of antiques and antique rugs in stores,206.5
220,3/1/2009,WZ08-4719-02,Retail sale of non-food,87.5
221,3/1/2009,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),78.2
222,3/1/2009,WZ08-4721,Retail sale of fruit and vegetables,82.7
223,3/1/2009,WZ08-47191,Retail sale in non-specialised stores (ex. food),95.7
224,3/1/2009,WZ08-4762,Retail sale of newspapers and stationery,102.1
225,3/1/2009,WZ08-4719,Other retail sale in non-specialised stores,103.9
226,3/1/2009,WZ08-4711,Retail sale in non-spec. stores with food etc.,84.6
227,3/1/2009,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",86.4
228,3/1/2009,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",109.7
229,3/1/2009,WZ08-472,"Retail sale of food	 beverages and tobacco",89.8
230,3/1/2009,WZ08-471-03,Retail trade in its more narrow definition,86.5
231,3/1/2009,WZ08-47112,Other retail sale in non-spec.stores with food etc,97.5
232,3/1/2009,WZ08-4761,Retail sale of books,100.1
233,3/1/2009,WZ08-4763,Retail sale of music and video recordings,105.9
234,3/1/2009,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",130.9
235,3/1/2009,WZ08-4779,Retail sale of second-hand goods in stores,159.3
236,3/1/2009,WZ08-4722,Retail sale of meat and meat products,98.4
237,3/1/2009,WZ08-47919,Other retail sale v. mail order houses or Internet,66.5
238,3/1/2009,WZ08-4791,Retail sale via mail order houses or via Internet,64.5
239,3/1/2009,WZ08-4774,Retail sale of medical and orthopaedic goods,74.2
240,3/1/2009,WZ08-4711-02,Retail sale of food,85
241,3/1/2009,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",100.7
242,3/1/2009,WZ08-47521,Retail sale of hardware and plastic products,96.9
243,3/1/2009,WZ08-47781,Activities of opticians,88.8
244,3/1/2009,WZ08-4776,"Retail sale of flowers	plants	seeds	fertil.	anim.",112.8
245,3/1/2009,WZ08-47593,Retail sale of musical instruments and scores,87.5
246,3/1/2009,WZ08-47301,Retail sale on behalf of others of automotive fuel,88.6
247,3/1/2009,WZ08-47641,"Retail sale of bicycles	 their parts and access.",85.3
248,3/1/2009,WZ08-471-04,"Retail trade	 except retail sale of fuels",86.2
249,3/1/2009,WZ08-471-02,Retail trade in the traditional sense,76.5
250,3/1/2009,WZ08-45-01,Motor trade and retail trade,76.5
251,3/1/2009,WZ08-4751,Retail sale of textiles,88.6
252,3/1/2009,WZ08-4741-01,Retail sale of books and stationery,95.5
253,3/1/2009,WZ08-47302,Retail sale of private-brand automotive fuel,82.7
254,3/1/2009,WZ08-4754,Retail sale of electrical household appliances,93.3
255,3/1/2009,WZ08-471,Retail sale in non-specialised stores,85.9
256,3/1/2009,WZ08-4777,Retail sale of watches and jewellery,82.8
257,3/1/2009,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",94
258,3/1/2009,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",105.7
259,3/1/2009,WZ08-478,Retail sale via stalls and markets,100.1
260,3/1/2009,WZ08-4799,"Other retail sale not in stores	 stalls or markets",109.3
261,3/1/2009,WZ08-47991,Retail sale of fuels from stock,116.1
262,3/1/2009,WZ08-4764,Retail sale of sporting equipment,81.4
263,3/1/2009,WZ08-4752,"Retail sale of hardware	 paints and glass",99.9
264,3/1/2009,WZ08-47789,Other retail sale of new goods,155.8
265,3/1/2009,WZ08-4778,Other retail sale of new goods,103
266,3/1/2009,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,105.9
267,3/1/2009,WZ08-4726,Retail sale of tobacco products,87.2
268,3/1/2009,WZ08-4743,Retail sale of audio and video equipment,99.4
269,3/1/2009,WZ08-476,Retail sale of cultural and recreation goods,89.3
270,3/1/2009,WZ08-47622,"Retail sale of stationery	school a.office supplies",107.4
271,3/1/2009,WZ08-47799,Retail sale of other second-hand goods in stores,170.1
272,3/1/2009,WZ08-47523,"Retail sale of paints	varnishes	building material",100.1
273,3/1/2009,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",86.4
274,3/1/2009,WZ08-47592,Retail sale of china and glassware,95.7
275,3/1/2009,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",97.5
276,3/1/2009,WZ08-47599,Retail sale of household articles n.e.c.,86.3
277,3/1/2009,WZ08-4742,Retail sale of telecommunications equipment,81.7
278,3/1/2009,WZ08-4773,Dispensing chemist,81.6
279,3/1/2009,WZ08-4772,Retail sale of footwear and leather goods,85.3
280,3/1/2009,WZ08-47591,Retail sale of furniture,97.3
281,3/1/2009,WZ08-4730,Retail sale of automotive fuel,86.5
282,3/1/2009,WZ08-47999,Other retail sale not in stores n.e.c.,93.6
283,3/1/2009,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",97.2
284,3/1/2009,WZ08-473,Retail sale of automotive fuel,86.5
285,4/1/2009,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",58.3
286,4/1/2009,WZ08-472,"Retail sale of food	 beverages and tobacco",97.8
287,4/1/2009,WZ08-47762,"Retail sale of live animals	 animal food etc.",84.2
288,4/1/2009,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",89.7
289,4/1/2009,WZ08-47799,Retail sale of other second-hand goods in stores,170.1
290,4/1/2009,WZ08-47792,Retail sale in second-hand bookstores in stores,88.1
291,4/1/2009,WZ08-4719-02,Retail sale of non-food,90.1
292,4/1/2009,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",97.1
293,4/1/2009,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",91.7
294,4/1/2009,WZ08-4765,Retail sale of games and toys,88
295,4/1/2009,WZ08-4761,Retail sale of books,96
296,4/1/2009,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",99.3
297,4/1/2009,WZ08-47999,Other retail sale not in stores n.e.c.,87.5
298,4/1/2009,WZ08-4741,"Retail sale of computers	peripheral units	software",81.3
299,4/1/2009,WZ08-4789,Retail sale via stalls and markets of other goods,87
300,4/1/2009,WZ08-47791,Retail sale of antiques and antique rugs in stores,212.4
301,4/1/2009,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),83.2
302,4/1/2009,WZ08-4722,Retail sale of meat and meat products,106.1
303,4/1/2009,WZ08-4725,Retail sale of beverages,97.9
